% Model:              Ellipse3.mph
% Version:            COMSOL 6.3.0.290
% Date:               Oct 26 2025, 11:01
% Dimension:          2
% Nodes:              10201
% Expressions:        5
% Description: Displacement field, X component, Displacement field, Y component, Strain tensor, XX component, Strain tensor, YY component, Strain tensor, XY component
% Length unit:        m
% X                       Y                        u (m)                    v (m)                    solid.eXX (1)            solid.eYY (1)            solid.eXY (1)
-0.8400000000000001       0.96                     -0.0025165080364608823   -8.614807893271385E-4    0.003023281418783434     -9.628131981635445E-4    1.9104336782312797E-6
-0.8200000000000001       0.98                     -0.0024559517877308645   -8.807542847936783E-4    0.0030241798302176257    -9.622673405314622E-4    1.0244165851528801E-6
-0.8                      1                        -0.002395432545540004    -9.000000000000001E-4    0.0030247761756756245    -9.614166988612902E-4    4.788088329756486E-9
-1                        0.78                     -0.0030000000000000005   -6.884905235170193E-4    0.003000555778677481     -9.528594664865141E-4    1.6685569034086134E-8
-0.98                     0.8                      -0.0029399136817432497   -7.075748894632142E-4    0.003004384863650502     -9.551688907624145E-4    1.5961708966274097E-6
-0.96                     0.8200000000000001       -0.0028796898780286584   -7.267110397370142E-4    0.0030079479982888743    -9.572091995824391E-4    2.7775998617685788E-6
-0.94                     0.8400000000000001       -0.0028193495080537996   -7.458935423170624E-4    0.0030112203492454657    -9.589487430975001E-4    3.5811131527217536E-6
-0.9199999999999999       0.8600000000000001       -0.002758913717780896    -7.65115696354214E-4     0.003014177500727568     -9.603617317332109E-4    4.029924828043731E-6
-0.8999999999999999       0.8800000000000001       -0.0026984037447430613   -7.843696624972376E-4    0.0030167999292808195    -9.614280666709191E-4    4.152016650609454E-6
-0.8799999999999999       0.9000000000000001       -0.00263784071022171     -8.036465210947619E-4    0.0030190736028689554    -9.621343501343867E-4    3.979320488012884E-6
-0.8599999999999999       0.9199999999999999       -0.0025772454010695996   -8.229363628443465E-4    0.0030209910915246587    -9.624746742924161E-4    3.5471660915775693E-6
-0.8400000000000001       0.94                     -0.002516638045279188    -8.422284073971552E-4    0.003022552384410781     -9.624511277230666E-4    2.8934965892966438E-6
-0.8200000000000001       0.96                     -0.002456038091012677    -8.615111460865025E-4    0.003023765424544076     -9.620739955212889E-4    2.0579832773557024E-6
-0.8                      0.98                     -0.002395463999331052    -8.807725056881044E-4    0.003024646344177565     -9.613619951234914E-4    1.0808625021651215E-6
-0.78                     1                        -0.0023349330091727823   -9.000000000000001E-4    0.003025220417476516     -9.603405830907024E-4    3.3495281895334905E-9
-1                        0.76                     -0.0030000000000000005   -6.694589545430506E-4    0.0029964103931642283    -9.502942835530071E-4    1.7464906739567132E-8
-0.98                     0.78                     -0.0029399887816125604   -6.884944811659656E-4    0.0030006330320436806    -9.528713287192542E-4    1.7981352014700043E-6
-0.96                     0.8                      -0.002879824541573328    -7.075871524911337E-4    0.003004595360054601     -9.551838799248778E-4    3.1606215307496363E-6
-0.94                     0.8200000000000001       -0.0028195283659988545   -7.267321748296462E-4    0.003008270196117079     -9.571971010052388E-4    4.123721010163006E-6
-0.9199999999999999       0.8400000000000001       -0.00275912167690786     -7.459234018647487E-4    0.0030116298024531383    -9.588813069079903E-4    4.709950099099243E-6
-0.8999999999999999       0.8600000000000002       -0.002698626100603301    -7.65153440253276E-4     0.0030146505468071627    -9.602119312767434E-4    4.947315489742486E-6
-0.8799999999999999       0.8800000000000001       -0.0026380632567126155   -7.844136856165021E-4    0.0030173137135055816    -9.611707433212167E-4    4.8685329367987445E-6
-0.8599999999999999       0.9000000000000001       -0.0025774545308562755   -8.036943956803772E-4    0.0030196068481574043    -9.617468538252577E-4    4.51048822337705E-6
-0.8400000000000001       0.9199999999999999       -0.002516820835489438    -8.229847967584444E-4    0.0030215248031196886    -9.61937428593268E-4     3.913428941011825E-6
-0.8200000000000001       0.94                     -0.002456182369725123    -8.422732202137629E-4    0.003023070493933191     -9.61748096291442E-4     3.1199917770238553E-6
-0.8                      0.96                     -0.002395558388478439    -8.61547263434723E-4     0.003024255330728344     -9.611930069823768E-4    2.174156295105372E-6
-0.78                     0.98                     -0.0023349669915892998   -8.807939711803484E-4    0.003025099322102267     -9.602949360695799E-4    1.119926216456198E-6
-0.76                     1                        -0.0022744248857828825   -9.000000000000001E-4    0.0030256320003941664    -9.590832842650601E-4    1.7856556222088187E-9
-1                        0.74                     -0.0030000000000000005   -6.504813484751712E-4    0.002991872986926778     -9.474609111382823E-4    1.8199928268162562E-8
-0.98                     0.76                     -0.002940071643425767    -6.694626056383377E-4    0.00299649294871158      -9.503133196055944E-4    2.009453113830754E-6
