% Model:              Beam.mph
% Version:            COMSOL 6.3.0.290
% Date:               Jun 14 2025, 10:50
% Dimension:          2
% Nodes:              1000
% Expressions:        5
% Description: Displacement magnitude, Rotation field, Z component, Bending moment, local z direction, Shear force, local y direction, Normal strain at the first calculation point
% Length unit:        m
% X                       Y                        beam.disp (m)            thz (rad)                beam.Mzl (N*m)           beam.Tyl (N)             beam.e_1 (1)
0.1155                    0                        1.7074804000108274E-4    0.0026514262331541793    63.73025234120956        514.7977225921827        3.8238151404725723E-4
0.1165                    0                        1.7340709327260894E-4    0.0026666597179893546    63.21545461861711        514.7977225921827        3.7929272771170257E-4
0.1175                    0                        1.760813182532436E-4     0.0026817696513711164    62.70065689602766        514.7977225921827        3.762039413761659E-4
0.1185                    0                        1.7877059139153334E-4    0.00269675603329945      62.18585917343267        514.7977225921827        3.731151550405959E-4
0.1195                    0                        1.814747891360247E-4     0.0027116188637743626    61.67106145084091        514.7977225921827        3.7002636870504536E-4
0.1205                    0                        1.8419378798526423E-4    0.0027263584427958546    61.16126372826017        504.7977225916139        3.6696758236956094E-4
0.1215                    0                        1.869274655877986E-4     0.0027409765703639254    60.65646600567494        504.7977225916139        3.6393879603404956E-4
0.1225                    0                        1.8967570074217432E-4    0.0027554735464785773    60.15166828307885        504.7977225916139        3.60910009698473E-4
0.1235                    0                        1.9243837229693795E-4    0.002769849371139805     59.646870560486846       504.7977225916139        3.57881223362921E-4
0.1245                    0                        1.9521535910063613E-4    0.0027841040443476106    59.14207283789903        504.7977225916139        3.548524370273941E-4
0.1255                    0                        1.9800654000181537E-4    0.0027982375661019976    58.63727511530767        504.7977225916139        3.5182365069184597E-4
0.1265                    0                        2.0081179384902228E-4    0.002812249936402959     58.132477392716204       504.7977225916139        3.487948643562972E-4
0.1275                    0                        2.036309994908035E-4     0.0028261411552505025    57.62767967012844        504.7977225916139        3.4576607802077057E-4
0.1285                    0                        2.0646403577570548E-4    0.0028399112226446172    57.12288194753558        504.7977225916139        3.427372916852134E-4
